Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1002, C1003, C1004, C1005, C1006, C1051, C2001, C2002, C2003, C2004, C2005, C2006, C2051, C3001, C3002, C3003, C3004, C3005, C3006, C3051, C4001, C4002, C4003, C4004, C4005, C4006, C4051, C5001",0402,29,100n,C307331
"C1081, C1101, C2081, C2101, C3081, C3101, C4081, C4101",0402,8,27p,C161544
"C1121, C1131, C2121, C2131",0402,4,3p9,C85940
"C1122, C2122",0402,2,8p2,C76984
"C1123, C2123",0402,2,5p6,C76976
"C1124, C1125, C2124, C2125",0402,4,220p,C71693
"C3121, C4121",0402,2,1p,C76953
"C3122, C3131, C4122, C4131",0402,4,1p5,C76958
"C3123, C4123",0402,2,3p3,C76968
"C3124, C4124",0402,2,100p,C77177
"C3125, C4125",0402,2,12p,C76948
"C3126, C4126",0402,2,47p,C76970
"D1001, D1002, D2001, D2002, D3001, D3002, D4001, D4002, D5004, D5005, D5006",0805,11,Y,C2296
"D5001, D5002, D5003",0805,3,G,C2297
"D5007, D5008",0805,2,R,C2295
"J1001, J2001",SMA_BAT_Wireless_BWSMA-KWE-Z001,2,SMA_433,C496549
"J3001, J4001",SMA_BAT_Wireless_BWSMA-KWE-Z001,2,SMA_868,C496549
J6001,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_4,
"L1121, L1123, L1131, L2121, L2123, L2131",0402,6,27n,C12669
"L1122, L2122",0402,2,22n,C12670
"L3121, L3123, L3124, L3131, L4121, L4123, L4124, L4131",0402,8,12n,C3223181
"L3122, L3132, L4122, L4132",0402,4,18n,C91622
"L3125, L4125",0402,2,3n3,C237574
"Q1001, Q1002, Q2001, Q2002, Q3001, Q3002, Q4001, Q4002",SOT-23,8,2N7002,C8545
"R1001, R1002, R2001, R2002, R3001, R3002, R4001, R4002, R5003, R5004, R5005, R5006, R5007, R5008",0603,14,200,C8218
"R1171, R2171, R3171, R4171",0603,4,56k,C23206
"R5001, R5002",0603,2,150,C22808
"R5011, R5012",0603,2,4k7,C23162
"U1001, U2001, U3001, U4001",Texas_RGP0020D_VQFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,4,CC1101,C29953
U5001,SOIC-16W_7.5x10.3mm_P1.27mm,1,PCF8574,C7605
"Y1001, Y2001, Y3001, Y4001",Crystal_SMD_3225-4Pin_3.2x2.5mm,4,26MHz,C485372
