Designator,Mid X,Mid Y,Rotation,Layer
C1001,148.821713,-84.440133,135.0,top
C1002,151.367,-90.839,135.0,top
C1003,153.671051,-90.367102,135.0,top
C1004,155.107892,-88.930261,135.0,top
C1005,155.826313,-88.211841,315.0,top
C1006,154.569077,-84.080923,45.0,top
C1051,148.103292,-85.158554,135.0,top
C1081,148.065,-88.553,0.0,top
C1101,149.081,-94.141,180.0,top
C1121,155.177,-93.633,270.0,top
C1122,154.669,-96.173,180.0,top
C1123,154.669,-98.205,180.0,top
C1124,154.161,-93.633,270.0,top
C1125,156.193,-99.729,270.0,top
C1131,156.701,-92.109,180.0,top
C2001,132.321713,-84.440133,135.0,top
C2002,134.867,-90.839,135.0,top
C2003,137.171051,-90.367102,135.0,top
C2004,138.607892,-88.930261,135.0,top
C2005,139.326313,-88.211841,315.0,top
C2006,138.069077,-84.080923,45.0,top
C2051,131.603292,-85.158554,135.0,top
C2081,131.565,-88.553,0.0,top
C2101,132.581,-94.141,180.0,top
C2121,138.677,-93.633,270.0,top
C2122,138.169,-96.173,180.0,top
C2123,138.169,-98.205,180.0,top
C2124,137.661,-93.633,270.0,top
C2125,139.693,-99.729,270.0,top
C2131,140.201,-92.109,180.0,top
C3001,115.821713,-84.440133,135.0,top
C3002,118.367,-90.839,135.0,top
C3003,120.671051,-90.367102,135.0,top
C3004,122.107892,-88.930261,135.0,top
C3005,122.826313,-88.211841,315.0,top
C3006,121.569077,-84.080923,45.0,top
C3051,115.103292,-85.158554,135.0,top
C3081,115.065,-88.553,0.0,top
C3101,116.081,-94.141,180.0,top
C3121,122.553,-94.141,180.0,top
C3122,122.045,-96.681,270.0,top
C3123,121.029,-99.221,180.0,top
C3124,121.029,-97.189,270.0,top
C3125,122.553,-102.777,270.0,top
C3126,121.537,-100.717,270.0,top
C3131,123.569,-95.157,180.0,top
C4001,99.321713,-84.440133,135.0,top
C4002,101.867,-90.839,135.0,top
C4003,104.171051,-90.367102,135.0,top
C4004,105.607892,-88.930261,135.0,top
C4005,106.326313,-88.211841,315.0,top
C4006,105.069077,-84.080923,45.0,top
C4051,98.603292,-85.158554,135.0,top
C4081,98.565,-88.553,0.0,top
C4101,99.581,-94.141,180.0,top
C4121,106.053,-94.141,180.0,top
C4122,105.545,-96.681,270.0,top
C4123,104.529,-99.221,180.0,top
C4124,104.529,-97.189,270.0,top
C4125,106.053,-102.777,270.0,top
C4126,105.037,-100.717,270.0,top
C4131,107.069,-95.157,180.0,top
C5001,171.551,-77.752,0.0,top
D1001,150.285,-76.4395,90.0,top
D1002,154.095,-76.4395,90.0,top
D2001,133.785,-76.4395,90.0,top
D2002,137.595,-76.4395,90.0,top
D3001,117.285,-76.4395,90.0,top
D3002,121.095,-76.4395,90.0,top
D4001,100.785,-76.4395,90.0,top
D4002,104.595,-76.4395,90.0,top
D5001,168.2485,-110.137,0.0,top
D5002,168.2485,-107.851,0.0,top
D5003,168.2485,-105.565,0.0,top
D5004,168.2485,-103.279,0.0,top
D5005,168.2485,-100.993,0.0,top
D5006,168.2485,-98.707,0.0,top
D5007,168.2485,-96.421,0.0,top
D5008,168.2485,-94.135,0.0,top
J1001,144.375,-109.275,180.0,top
J2001,131.375,-109.275,180.0,top
J3001,118.375,-109.275,180.0,top
J4001,105.375,-109.275,180.0,top
J6001,124.88,-61.28,90.0,top
L1121,154.669,-92.109,180.0,top
L1122,156.193,-95.665,270.0,top
L1123,156.193,-97.697,270.0,top
L1131,156.193,-93.633,270.0,top
L2121,138.169,-92.109,180.0,top
L2122,139.693,-95.665,270.0,top
L2123,139.693,-97.697,270.0,top
L2131,139.693,-93.633,270.0,top
L3121,122.045,-92.617,270.0,top
L3122,121.537,-95.157,180.0,top
L3123,122.553,-98.713,270.0,top
L3124,122.553,-100.745,270.0,top
L3125,121.537,-102.777,270.0,top
L3131,123.061,-92.617,270.0,top
L3132,123.061,-96.681,270.0,top
L4121,105.545,-92.617,270.0,top
L4122,105.037,-95.157,180.0,top
L4123,106.053,-98.713,270.0,top
L4124,106.053,-100.745,270.0,top
L4125,105.037,-102.777,270.0,top
L4131,106.561,-92.617,270.0,top
L4132,106.561,-96.681,270.0,top
Q1001,149.523,-80.2495,270.0,top
Q1002,153.333,-80.2495,270.0,top
Q2001,133.023,-80.2495,270.0,top
Q2002,136.833,-80.2495,270.0,top
Q3001,116.523,-80.2495,270.0,top
Q3002,120.333,-80.2495,270.0,top
Q4001,100.023,-80.2495,270.0,top
Q4002,103.833,-80.2495,270.0,top
R1001,148.507,-76.4395,90.0,top
R1002,152.317,-76.4395,90.0,top
R1171,155.826313,-84.619739,225.0,top
R2001,132.007,-76.4395,90.0,top
R2002,135.817,-76.4395,90.0,top
R2171,139.326313,-84.619739,225.0,top
R3001,115.507,-76.4395,90.0,top
R3002,119.317,-76.4395,90.0,top
R3171,122.826313,-84.619739,225.0,top
R4001,99.007,-76.4395,90.0,top
R4002,102.817,-76.4395,90.0,top
R4171,106.326313,-84.619739,225.0,top
R5001,164.6925,-110.137,0.0,top
R5002,164.6925,-107.851,0.0,top
R5003,164.6925,-105.565,0.0,top
R5004,164.6925,-103.279,0.0,top
R5005,164.6925,-100.993,0.0,top
R5006,164.6925,-98.707,0.0,top
R5007,164.6925,-96.421,0.0,top
R5008,164.6925,-94.135,0.0,top
R5011,175.615,-80.038,270.0,top
R5012,173.837,-80.038,270.0,top
U1001,151.875,-86.775,315.0,top
U2001,135.375,-86.775,315.0,top
